league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ITA-Serie A,2223,Sassuolo,Gianluca Pegolo,ITA,GK,41,1981,2,2,180,2.0,3,1.5,6,3,50.0,0,1,1,0,0.0,1,1,0,0,0.0
ITA-Serie A,2223,Spezia,Bartłomiej Drągowski,POL,GK,24,1997,34,34,2946,32.7,54,1.65,168,114,67.9,6,10,18,6,17.6,6,4,1,1,20.0
ITA-Serie A,2223,Spezia,Federico Marchetti,ITA,GK,39,1983,1,0,66,0.7,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0,
ITA-Serie A,2223,Spezia,Jeroen Zoet,NED,GK,31,1991,5,4,334,3.7,4,1.08,14,10,71.4,0,3,1,0,0.0,1,1,0,0,0.0
ITA-Serie A,2223,Spezia,Petar Zovko,BIH,GK,20,2002,1,0,74,0.8,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0,
ITA-Serie A,2223,Torino,Vanja Milinković-Savić,SRB,GK,25,1997,38,38,3420,38.0,41,1.08,137,96,70.1,14,11,13,11,28.9,6,5,0,1,0.0
ITA-Serie A,2223,Udinese,Marco Silvestri,ITA,GK,31,1991,38,38,3420,38.0,48,1.26,137,89,65.0,11,13,14,10,26.3,7,6,0,1,0.0
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11,11,990,11.0,12,1.09,35,23,65.7,6,1,4,6,54.5,2,2,0,0,0.0
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,27,27,2425,26.9,30,1.11,101,76,70.3,15,5,7,8,29.6,7,4,2,1,33.3
