#,Age,club,season,position,player_name,market_value_eur
-,30.0,Arsenal,2324,Goalkeeper,Matt Turner,7000000.0
31,22.0,Arsenal,2324,Goalkeeper,Karl Hein,2000000.0
-,22.0,Arsenal,2324,Goalkeeper,Arthur Okonkwo,1800000.0
2,23.0,Arsenal,2324,Centre-Back,William Saliba,80000000.0
6,26.0,Arsenal,2324,Centre-Back,Gabriel,70000000.0
15,24.0,Arsenal,2324,Centre-Back,Jakub Kiwior,30000000.0
-,28.0,Arsenal,2324,Centre-Back,Rob Holding,5000000.0
-,17.0,Arsenal,2324,Centre-Back,Ayden Heaven,300000.0
35,27.0,Arsenal,2324,Left-Back,Oleksandr Zinchenko,38000000.0
-,27.0,Arsenal,2324,Left-Back,Kieran Tierney,12000000.0
-,19.0,Arsenal,2324,Left-Back,Lino Sousa,2000000.0
4,26.0,Arsenal,2324,Right-Back,Ben White,55000000.0
12,23.0,Arsenal,2324,Right-Back,Jurriën Timber,38000000.0
18,25.0,Arsenal,2324,Right-Back,Takehiro Tomiyasu,35000000.0
-,19.0,Arsenal,2324,Right-Back,Reuell Walters,4000000.0
17,32.0,Arsenal,2324,Right-Back,Cédric Soares,2000000.0
-,20.0,Arsenal,2324,Right-Back,James Sweet,250000.0
5,31.0,Arsenal,2324,Defensive Midfield,Thomas Partey,18000000.0
20,32.0,Arsenal,2324,Defensive Midfield,Jorginho,12000000.0
25,31.0,Arsenal,2324,Defensive Midfield,Mohamed Elneny,3500000.0
-,19.0,Arsenal,2324,Defensive Midfield,Bradley Ibrahim,400000.0
41,25.0,Arsenal,2324,Central Midfield,Declan Rice,120000000.0
-,24.0,Arsenal,2324,Central Midfield,Albert Sambi Lokonga,15000000.0
-,17.0,Arsenal,2324,Central Midfield,Myles Lewis-Skelly,2000000.0
-,20.0,Arsenal,2324,Central Midfield,Mauro Bandeira,200000.0
8,25.0,Arsenal,2324,Attacking Midfield,Martin Ødegaard,110000000.0
10,23.0,Arsenal,2324,Attacking Midfield,Emile Smith Rowe,22000000.0
21,24.0,Arsenal,2324,Attacking Midfield,Fábio Vieira,22000000.0
-,17.0,Arsenal,2324,Attacking Midfield,Ethan Nwaneri,8000000.0
